Probdriverdeath,carleft_impdeath,carfront_impdeath,so_lowerhingepillarmaxcm,so_footrestcm,so_lefttoepancm,so_brakepedalcm,so_parkingbrakecm,so_rockerpanellateralaveragecm,so_steeringcolumn,so_upperhingepillarmaxcm,so_upperdashcm,so_lowerinstrumentpanelcm,so_headheadhic15,so_necknecktensionkn,so_maximumnij,so_kneethighhipinjuryrisk,so_maximumtibiaindex,so_tibiaaxialforcekn,so_footaccelerationg,mo_footwellintrusionfootrestcm,mo_brakepedalcm,mo_apillarrearwardmovementcm,mo_headheadhic15,mo_necknecktensionkn,mo_maximumnij,mo_femurkn,mo_kneedisplacementmm,mo_maximumtibiaindex,mo_tibiaaxialforcekn,mo_footaccelerationg,mo_instrpanelrearmovement,mo_footwellintrusion,sd_bpillarto,sd_headhic15,sd_necknecktensionkn,sd_compressionkn,sd_torsomaximumdeflection,sd_averagedeflectionmm,sd_maximumdeflectionratems,sd_maximumviscouscriterionms,sd_pelvisiliacforcekn,sd_acetabulumforcekn,sd_combinedforcekn,sd_leftfemurleftfemurlmforcekn,sd_lmmomentnm,sd_apmomentnm,rf_curbweight,rf_peakforce,rf_strengthtoweightratio,rolloverpossibilityAvg,rolloverpossibilityAvg,med_lengthins,med_widthins,med_heighthins,med_weightlbs,med_epa_combined,RatingsMissing_SO,RatingsMissing_SD,RatingsMissing_MO,RatingsMissing_RF,RatingsMissing_SD_By_Year_FE,RatingsMissing_SO_By_Year_FE,RatingsMissing_MO_By_Year_FE,RatingsMissing_RF_By_Year_FE,RolloverPossYearMissing,floor_iihs_overall_sd,floor_iihs_overall_mo,floor_iihs_overall_so_driver,floor_iihs_overall_rf
1.95e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,151,1,.7,34,30,4.16,.66,2.1,1.8,3.6,.5,27,49,-99,-99,-99,.14,.14,191.6,78.5,68.2,4550,18.25,1,0,0,1,"20110","20111","20110","20111","0",4,4,-99,-99
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,151,1,.7,34,30,4.16,.66,2.1,1.8,3.6,.5,27,49,4587,20474,4.46,.14,.14,191.6,78.5,68.2,4550,18.25,1,0,0,0,"20120","20121","20120","20120","0",4,4,-99,4
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,4,0,199,1,.25,1.1,1,2.25,.415,52.5,1,10,-16,151,1,.7,34,30,4.16,.66,2.1,1.8,3.6,.5,27,49,4587,20474,4.46,.14,.14,191.6,78.5,68.2,4550,18.25,1,0,0,0,"20130","20131","20130","20130","0",4,4,-99,4
1.44e-06,0,2,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.1595,.1595,193.6,77.2,66.7,4025,23.6,0,0,0,0,"20140","20140","20140","20140","0",4,4,4,4
1.45e-06,0,0,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.164,.164,193.6,77.2,66.7,4103,23.6,0,0,0,0,"20150","20150","20150","20150","0",4,4,4,4
0,0,0,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.164,.164,193.6,77.2,67.6,3960,22.6,0,0,0,0,"20160","20160","20160","20160","0",4,4,4,4
0,0,0,4,10,9,9,8,3,1,3,3,5,171,1.2,.2,0,.55,2,87,1,9,0,121,1,.22,.55,2,2.15,.485,88.5,.5,4.333333,-16.5,180,1.3,.3,36,29,3.53,.4,3.1,1,3.8,.2,23,30,4237,24871,5.87,.164,.164,193.6,77.2,67.6,4001,22.6,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,174.2,71.3,46.1,3153,20.15,1,1,1,1,"20051","20051","20051","20051","2005",-99,-99,-99,-99
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,176,87.3,47.8,3803,21.450001,1,1,1,1,"20171","20171","20171","20171","2017",-99,-99,-99,-99
8.28e-07,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,1,220,.1,.22,1.1,3.5,3.1,.67,73,0,8,-11.5,167,1.2,0,25,20,2.66,.35,4.4,1.2,5.6,.6,145,41,3911,11325,2.9,.155,.155,180.7,73.6,65.2,3924,20.799999,1,0,0,0,"20070","20071","20070","20070","0",4,4,-99,2
1.09e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,1,220,.1,.22,1.1,3.5,3.1,.67,73,0,8,-11.5,167,1.2,0,25,20,2.66,.35,4.4,1.2,5.6,.6,145,41,3911,11325,2.9,.155,.155,180.7,73.6,65.2,3924,20.799999,1,0,0,0,"20080","20081","20080","20080","0",4,4,-99,2
5.75e-06,0,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,1,220,.1,.22,1.1,3.5,3.1,.67,73,0,8,-11.5,167,1.2,0,25,20,2.66,.35,4.4,1.2,5.6,.6,145,41,3911,11325,2.9,.155,.155,180.7,73.6,65.2,3933,19.25,1,0,0,0,"20090","20091","20090","20090","0",4,4,-99,2
1.97e-06,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,1,220,.1,.22,1.1,3.5,3.1,.67,73,0,8,-11.5,167,1.2,0,25,20,2.66,.35,4.4,1.2,5.6,.6,145,41,3911,11325,2.9,.155,.155,182.5,73.6,65.2,3743,21.25,1,0,0,0,"20100","20101","20100","20100","0",4,4,-99,2
2.14e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,1,220,.1,.22,1.1,3.5,3.1,.67,73,0,8,-11.5,167,1.2,0,25,20,2.66,.35,4.4,1.2,5.6,.6,145,41,3911,11325,2.9,.0775,.0775,182.5,73.6,65.2,3743,21.25,1,0,0,0,"20110","20111","20110","20110","0",4,4,-99,2
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,1,220,.1,.22,1.1,3.5,3.1,.67,73,0,8,-11.5,167,1.2,0,25,20,2.66,.35,4.4,1.2,5.6,.6,145,41,3911,11325,2.9,.0775,.0775,182.5,73.6,65.2,3743,21.25,1,0,0,0,"20120","20121","20120","20120","0",4,4,-99,2
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,1,0,204,.8,.18,.6,0,2.3,.535,78,-1,7,-12.5,128,1.1,.5,30,25,3.6,.45,2.6,2.2,4.8,.7,37,144,3806,20843,5.48,-99,-99,182.5,73.6,65.2,3743,23.6,1,0,0,0,"20130","20131","20130","20130","2013",4,4,-99,4
2.42e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,1,0,204,.8,.18,.6,0,2.3,.535,78,-1,7,-12.5,128,1.1,.5,30,25,3.6,.45,2.6,2.2,4.8,.7,37,144,3806,20843,5.48,.1595,.1595,183.5,73.7,66.1,3717,23.6,1,0,0,0,"20140","20141","20140","20140","0",4,4,-99,4
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,-12.5,128,1.1,.5,30,25,3.6,.45,2.6,2.2,4.8,.7,37,144,3806,20843,5.48,.1595,.1595,183.5,73.7,66.1,3717,23.6,1,0,0,0,"20150","20151","20150","20150","0",4,4,-99,4
0,0,0,5,4,6,8,13,2,1,4,1,4,202,2,.32,0,.61,1.55,55.5,4,1,0,342,.9,.22,.7,0,1.85,.35,73.5,0,5.666667,-17,133,1,.4,27,24,3.28,.39,1.1,2.1,3.1,.5,39,125,3806,20843,5.48,.1595,.1595,184.4,73.7,65,3737,23.6,0,0,0,0,"20160","20160","20160","20160","0",4,4,4,4
0,0,0,5,4,6,8,13,2,1,4,1,4,202,2,.32,0,.61,1.55,55.5,4,1,0,342,.9,.22,.7,0,1.85,.35,73.5,0,5.666667,-17,133,1,.4,27,24,3.28,.39,1.1,2.1,3.1,.5,39,125,3806,20843,5.48,.1595,.1595,184.4,73.7,65,3737,23.6,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
8.97e-06,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,193.6,72.7,57.1,3984,21.6,1,0,0,0,"20050","20051","20050","20050","0",4,4,-99,2
1.60e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,193.6,72.7,57.1,4012,21.6,1,0,0,0,"20060","20061","20060","20060","0",4,4,-99,2
4.44e-06,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,193.6,72.7,57.1,4012,21.6,1,0,0,0,"20070","20071","20070","20070","0",4,4,-99,2
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,193.6,72.7,57.1,4014,19.6,1,0,0,0,"20080","20081","20080","20080","0",4,4,-99,2
9.42e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,195.8,72.7,57.2,4083,18.700001,1,0,0,0,"20090","20091","20090","20090","0",4,4,-99,2
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,195.7,72.7,57.2,4083,18.700001,1,0,0,0,"20100","20101","20100","20100","0",4,4,-99,2
.0000344,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,195.8,72.7,57.2,4099,20.15,1,0,0,0,"20110","20111","20110","20110","0",4,4,-99,2
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,13,0,137,.8,.2,1.75,.5,2.35,.47,55.5,1,11.66667,-8.5,395,.9,0,35,32,3.51,.47,2.6,2.3,4.8,.3,102,52,4051,10419,2.57,.097,.097,195.8,72.7,57.2,4099,20.15,1,0,0,0,"20120","20121","20120","20120","0",4,4,-99,2
6.25e-06,0,1,4,3,2,5,,0,1,3,3,3,151,.8,.2,0,.385,1.85,45.5,6,3,0,338,.9,.3,1.1,.5,3.45,.435,59.5,0,6,-16.5,244,.6,.1,29,25,6.25,.34,1,1.3,2,.5,150,84,3919,20314,5.18,-99,-99,196.1,74.4,57.7,4143.5,24.950001,0,0,0,0,"20140","20140","20140","20140","2014",4,4,4,4
0,0,0,4,3,2,5,,0,1,3,3,3,151,.8,.2,0,.385,1.85,45.5,6,3,0,338,.9,.3,1.1,.5,3.45,.435,59.5,0,6,-16.5,244,.6,.1,29,25,6.25,.34,1,1.3,2,.5,150,84,3919,20314,5.18,.097,.097,196.1,74.4,57.7,4143.5,24.950001,0,0,0,0,"20150","20150","20150","20150","0",4,4,4,4
