Probdriverdeath,carleft_impdeath,carfront_impdeath,so_lowerhingepillarmaxcm,so_footrestcm,so_lefttoepancm,so_brakepedalcm,so_parkingbrakecm,so_rockerpanellateralaveragecm,so_steeringcolumn,so_upperhingepillarmaxcm,so_upperdashcm,so_lowerinstrumentpanelcm,so_headheadhic15,so_necknecktensionkn,so_maximumnij,so_kneethighhipinjuryrisk,so_maximumtibiaindex,so_tibiaaxialforcekn,so_footaccelerationg,mo_footwellintrusionfootrestcm,mo_brakepedalcm,mo_apillarrearwardmovementcm,mo_headheadhic15,mo_necknecktensionkn,mo_maximumnij,mo_femurkn,mo_kneedisplacementmm,mo_maximumtibiaindex,mo_tibiaaxialforcekn,mo_footaccelerationg,mo_instrpanelrearmovement,mo_footwellintrusion,sd_bpillarto,sd_headhic15,sd_necknecktensionkn,sd_compressionkn,sd_torsomaximumdeflection,sd_averagedeflectionmm,sd_maximumdeflectionratems,sd_maximumviscouscriterionms,sd_pelvisiliacforcekn,sd_acetabulumforcekn,sd_combinedforcekn,sd_leftfemurleftfemurlmforcekn,sd_lmmomentnm,sd_apmomentnm,rf_curbweight,rf_peakforce,rf_strengthtoweightratio,rolloverpossibilityAvg,rolloverpossibilityAvg,med_lengthins,med_widthins,med_heighthins,med_weightlbs,med_epa_combined,RatingsMissing_SO,RatingsMissing_SD,RatingsMissing_MO,RatingsMissing_RF,RatingsMissing_SD_By_Year_FE,RatingsMissing_SO_By_Year_FE,RatingsMissing_MO_By_Year_FE,RatingsMissing_RF_By_Year_FE,RolloverPossYearMissing,floor_iihs_overall_sd,floor_iihs_overall_mo,floor_iihs_overall_so_driver,floor_iihs_overall_rf
3.78e-06,0,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,1,168,.9,.34,3,1,1.7,.57,63.5,3,5,-17.5,55,.7,.1,42,30,4.61,.77,1.5,2.9,4,.9,122,34,4973,19898,4,.162,.162,205,78.4,72.8,4720,20.15,1,0,0,0,"20120","20121","20120","20120","0",4,4,-99,4
3.61e-06,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,1,168,.9,.34,3,1,1.7,.57,63.5,3,5,-17.5,55,.7,.1,42,30,4.61,.77,1.5,2.9,4,.9,122,34,4973,19898,4,.162,.162,203.7,78.5,69.9,4713,20.15,1,0,0,0,"20130","20131","20130","20130","0",4,4,-99,4
1.51e-06,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,1,168,.9,.34,3,1,1.7,.57,63.5,3,5,-17.5,55,.7,.1,42,30,4.61,.77,1.5,2.9,4,.9,122,34,4973,19898,4,.162,.162,203.7,78.5,69.9,4713,20.15,1,0,0,0,"20140","20141","20140","20140","0",4,4,-99,4
4.17e-06,2,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,1,168,.9,.34,3,1,1.7,.57,63.5,3,5,-17.5,55,.7,.1,42,30,4.61,.77,1.5,2.9,4,.9,122,34,4973,19898,4,.162,.162,203.7,78.5,69.9,4713,20.15,1,0,0,0,"20150","20151","20150","20150","0",4,4,-99,4
8.54e-07,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,1,168,.9,.34,3,1,1.7,.57,63.5,3,5,-17.5,55,.7,.1,42,30,4.61,.77,1.5,2.9,4,.9,122,34,4973,19898,4,.162,.162,203.7,78.5,69.9,4713,20.15,1,0,0,0,"20160","20161","20160","20160","0",4,4,-99,4
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,1,168,.9,.34,3,1,1.7,.57,63.5,3,5,-17.5,55,.7,.1,42,30,4.61,.77,1.5,2.9,4,.9,122,34,4973,19898,4,.162,.162,203.7,78.5,69.9,4713,18.15,1,0,0,0,"20170","20171","20170","20170","0",4,4,-99,4
6.49e-06,2,3,14,9,8,9,,2,4,14,12,12,107,1.3,.23,.5,.43,1.2,52.5,3,11,0,194,1.2,.25,.4,.5,2.4,.245,61.5,0,7,-15.5,189,1.2,.5,31,27,3.08,.29,1.5,1.8,3.1,.2,155,-22,3327,15414,4.63,.1885,.1885,168.5,69.9,65.9,2805,29.6,0,0,0,0,"20150","20150","20150","20150","0",4,4,4,4
1.09e-06,1,0,14,9,8,9,,2,4,14,12,12,107,1.3,.23,.5,.43,1.2,52.5,3,11,0,194,1.2,.25,.4,.5,2.4,.245,61.5,0,7,-15.5,189,1.2,.5,31,27,3.08,.29,1.5,1.8,3.1,.2,155,-22,3327,15414,4.63,.1885,.1885,168.5,69.9,65.9,2805,29.6,0,0,0,0,"20160","20160","20160","20160","0",4,4,4,4
0,0,0,14,9,8,9,,2,4,14,12,12,107,1.3,.23,.5,.43,1.2,52.5,3,11,0,194,1.2,.25,.4,.5,2.4,.245,61.5,0,7,-15.5,189,1.2,.5,31,27,3.08,.29,1.5,1.8,3.1,.2,155,-22,3327,15414,4.63,.1885,.1885,167.2,69.9,64.8,3124,28.6,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
9.49e-06,2,16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,11,1,550,2,.42,4.15,3,1.1,.365,52.5,4,10.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,204,85.7,72,4183,20.700001,1,1,0,1,"20051","20051","20050","20051","2005",-99,4,-99,-99
9.10e-06,3,19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,11,1,550,2,.42,4.15,3,1.1,.365,52.5,4,10.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.204,.204,204,85.7,72,3813,21.15,1,1,0,1,"20061","20061","20060","20061","0",-99,4,-99,-99
9.61e-06,4,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,11,1,550,2,.42,4.15,3,1.1,.365,52.5,4,10.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.204,.204,191,72,70.5,4084,20.6,1,1,0,1,"20071","20071","20070","20071","0",-99,4,-99,-99
8.44e-06,5,19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,8,11,1,550,2,.42,4.15,3,1.1,.365,52.5,4,10.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.204,.204,191,72,70.5,4084,21.15,1,1,0,1,"20081","20081","20080","20081","0",-99,4,-99,-99
.0000235,6,16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,40,36,30,,2.7,.92,5.55,8.5,2.3,1.84,98,26.5,40,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,200.9,72,68.1,3838,22.15,1,1,0,1,"20051","20051","20050","20051","2005",-99,1,-99,-99
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,6,0,212,1.2,.24,1.2,.5,2.5,.41,65,1,6,-14,195,1.5,.8,39,35,3.82,.63,2.6,1,3.3,.2,176,39,3739,15816,4.23,.094,.094,177.1,70.4,56.3,,,1,0,0,0,"20110","20111","20110","20110","0",4,4,-99,4
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,6,0,212,1.2,.24,1.2,.5,2.5,.41,65,1,6,-14,195,1.5,.8,39,35,3.82,.63,2.6,1,3.3,.2,176,39,3739,15816,4.23,.093,.093,177.1,70.4,56.3,,,1,0,0,0,"20120","20121","20120","20120","0",4,4,-99,4
1.58e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,6,0,212,1.2,.24,1.2,.5,2.5,.41,65,1,6,-14,195,1.5,.8,39,35,3.82,.63,2.6,1,3.3,.2,176,39,3739,15816,4.23,.093,.093,177.1,70.4,56.6,3781,70.550003,1,0,0,0,"20130","20131","20130","20130","0",4,4,-99,4
0,0,0,10,8,5,3,,1,5,11,11,10,101,1.4,.28,0,.7,2.65,59.5,4,6,0,212,1.2,.24,1.2,.5,2.5,.41,65,1,6,-14,195,1.5,.8,39,35,3.82,.63,2.6,1,3.3,.2,176,39,3739,15816,4.23,.093,.093,177.1,70.4,56.6,3781,70.550003,0,0,0,0,"20140","20140","20140","20140","0",4,4,3,4
0,0,0,10,8,5,3,,1,5,11,11,10,101,1.4,.28,0,.7,2.65,59.5,4,6,0,212,1.2,.24,1.2,.5,2.5,.41,65,1,6,-14,195,1.5,.8,39,35,3.82,.63,2.6,1,3.3,.2,176,39,3739,15816,4.23,.093,.093,177.1,70.4,56.6,3786,70.550003,0,0,0,0,"20150","20150","20150","20150","0",4,4,3,4
.0000102,0,0,9,4,2,4,,1,1,7,8,7,103,1.1,.18,0,.61,1.6,33.5,5,5,0,204,.8,.19,.55,1,2.55,.735,75,0,7.666667,-18,366,.7,0,32,30,2.73,.35,.8,1.3,2,.4,60,95,3480,17081,4.91,-99,-99,180.4,71.2,56.4,3543,74.550003,0,0,0,0,"20160","20160","20160","20160","2016",4,4,4,4
0,0,0,9,4,2,4,,1,1,7,8,7,103,1.1,.18,0,.61,1.6,33.5,5,5,0,204,.8,.19,.55,1,2.55,.735,75,0,7.666667,-18,366,.7,0,32,30,2.73,.35,.8,1.3,2,.4,60,95,3480,17081,4.91,.093,.093,180.4,71.2,56.4,3543,74.550003,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
5.38e-06,1,8,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,5.5,4,1,160.5,1.25,.235,1.4,0,2.75,.4875,58,1,8,-15.75,269,1,.3,47.5,39,5.98,.84,1.55,3.05,4.25,.85,181.5,68,3275,14508,4.43,-99,-99,191.7,72.5,58.15,3474,23.725001,0,0,0,0,"20110","20110","20110","20110","2011",4,4,3,4
8.25e-06,2,20,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,5.5,4,1,160.5,1.25,.235,1.4,0,2.75,.4875,58,1,8,-15.75,269,1,.3,47.5,39,5.98,.84,1.55,3.05,4.25,.85,181.5,68,3275,14508,4.43,.0555,.0555,191.7,72.5,54.9,3650.5,23.725001,0,0,0,0,"20120","20120","20120","20120","0",4,4,3,4
.0000137,4,32,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,5.5,4,1,160.5,1.25,.235,1.4,0,2.75,.4875,58,1,8,-15.75,269,1,.3,47.5,39,5.98,.84,1.55,3.05,4.25,.85,181.5,68,3275,14508,4.43,.0555,.0555,193.25,72.5,58.15,3650,24,0,0,0,0,"20130","20130","20130","20130","0",4,4,3,4
7.94e-06,4,4,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,5.5,4,1,160.5,1.25,.235,1.4,0,2.75,.4875,58,1,8,-15.75,269,1,.3,47.5,39,5.98,.84,1.55,3.05,4.25,.85,181.5,68,3275,14508,4.43,.0555,.0555,193.25,72.5,58.15,3650,24,0,0,0,0,"20140","20140","20140","20140","0",4,4,3,4
4.73e-06,1,16,9,6,2,5,,1,0,5,7,6,119,1.1,.18,0,.505,2.6,43,3,8,0,152,2,.34,1.35,5.5,2.55,.475,56,0,4.333333,-17.5,395,.2,1.3,33,30,4.44,.78,2,2.3,4.3,.5,18,124,3447,16346,4.74,.107,.107,192.3,73.6,58.7,3473,28.85,0,0,0,0,"20150","20150","20150","20150","0",4,4,4,4
1.05e-06,0,1,9,6,2,5,,1,0,5,7,6,119,1.1,.18,0,.505,2.6,43,3,8,0,152,2,.34,1.35,5.5,2.55,.475,56,0,4.333333,-17.5,395,.2,1.3,33,30,4.44,.78,2,2.3,4.3,.5,18,124,3447,16346,4.74,.107,.107,192.3,73.6,58.7,3473,28.85,0,0,0,0,"20160","20160","20160","20160","0",4,4,4,4
0,0,0,9,6,2,5,,1,0,5,7,6,119,1.1,.18,0,.505,2.6,43,3,8,0,152,2,.34,1.35,5.5,2.55,.475,56,0,4.333333,-17.5,395,.2,1.3,33,30,4.44,.78,2,2.3,4.3,.5,18,124,3447,16346,4.74,.107,.107,192.3,73.6,58.7,3473,28.85,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
9.68e-06,11,57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,3,0,149,1.1,.3,.75,0,1.3,.37,54,.5,8.333333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.109,.109,196.8,74.1,58.4,3721,24.15,1,1,0,1,"20051","20051","20050","20051","0",-99,4,-99,-99
8.38e-06,22,53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,3,0,149,1.1,.3,.75,0,1.3,.37,54,.5,8.333333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.109,.109,196.8,74.1,58.4,3721,24.15,1,1,0,1,"20061","20061","20060","20061","0",-99,4,-99,-99
8.22e-06,2,33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,3,0,149,1.1,.3,.75,0,1.3,.37,54,.5,8.333333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.109,.109,196.8,74.1,58.4,3712,24.15,1,1,0,1,"20071","20071","20070","20071","0",-99,4,-99,-99
9.20e-06,3,20,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,3,0,149,1.1,.3,.75,0,1.3,.37,54,.5,8.333333,-3,608,2,.1,67,47,7.34,1.96,4.7,3.5,8.3,.5,110,34,-99,-99,-99,.109,.109,196.8,74.1,58.4,3725,21.6,1,0,0,1,"20080","20081","20080","20081","0",1,4,-99,-99
7.36e-06,2,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,3,0,149,1.1,.3,.75,0,1.3,.37,54,.5,8.333333,-3,608,2,.1,67,47,7.34,1.96,4.7,3.5,8.3,.5,110,34,-99,-99,-99,.109,.109,196.8,74.1,58.4,3725,21.6,1,0,0,1,"20090","20091","20090","20091","0",1,4,-99,-99
7.97e-06,0,13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,11,3,0,149,1.1,.3,.75,0,1.3,.37,54,.5,8.333333,-3,380,1.1,.4,65,46,9.07,1.85,2.9,3.2,5.9,.6,128,48,-99,-99,-99,.109,.109,196.8,74.1,58.4,3725,21.6,1,0,0,1,"20100","20101","20100","20101","0",2,4,-99,-99
7.35e-06,1,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,6,1,90,1.2,.25,1.75,3,1.85,.41,45.5,0,5,-11.5,130,.7,.2,30,23,2.86,.31,1.7,.8,1.8,.7,136,23,4054,21762,5.37,-99,-99,198.6,75,58.4,3961,22.049999,1,0,0,0,"20110","20111","20110","20110","2011",4,4,-99,4
7.36e-06,1,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,6,1,90,1.2,.25,1.75,3,1.85,.41,45.5,0,5,-11.5,130,.7,.2,30,23,2.86,.31,1.7,.8,1.8,.7,136,23,4054,21762,5.37,.113,.113,198.6,75,58.4,3999,22.049999,1,0,0,0,"20120","20121","20120","20120","0",4,4,-99,4
9.09e-06,6,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,6,1,90,1.2,.25,1.75,3,1.85,.41,45.5,0,5,-11.5,130,.7,.2,30,23,2.86,.31,1.7,.8,1.8,.7,136,23,4054,21762,5.37,.113,.113,198.6,75,58.4,4029,24.4,1,0,0,0,"20130","20131","20130","20130","0",4,4,-99,4
4.52e-06,0,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,6,1,90,1.2,.25,1.75,3,1.85,.41,45.5,0,5,-11.5,130,.7,.2,30,23,2.86,.31,1.7,.8,1.8,.7,136,23,4054,21762,5.37,.0565,.0565,198.6,75,58.4,4029,24.4,1,0,0,0,"20140","20141","20140","20140","0",4,4,-99,4
6.28e-06,0,3,17,33,26,22,23,3,9,11,15,14,222,1,.29,.5,.895,3.85,84,3,6,1,90,1.2,.25,1.75,3,1.85,.41,45.5,0,5,-11.5,130,.7,.2,30,23,2.86,.31,1.7,.8,1.8,.7,136,23,4054,21762,5.37,.113,.113,198.6,75,58.4,4029,24.4,0,0,0,0,"20150","20150","20150","20150","0",4,4,2,4
0,0,0,17,33,26,22,23,3,9,11,15,14,222,1,.29,.5,.895,3.85,84,3,6,1,90,1.2,.25,1.75,3,1.85,.41,45.5,0,5,-11.5,130,.7,.2,30,23,2.86,.31,1.7,.8,1.8,.7,136,23,4054,21762,5.37,.113,.113,198.6,75,58.4,3992,24.4,0,0,0,0,"20160","20160","20160","20160","0",4,4,2,4
0,0,0,17,33,26,22,23,3,9,11,15,14,222,1,.29,.5,.895,3.85,84,3,6,1,90,1.2,.25,1.75,3,1.85,.41,45.5,0,5,-11.5,130,.7,.2,30,23,2.86,.31,1.7,.8,1.8,.7,136,23,4054,21762,5.37,.113,.113,198.6,75,58.5,4013,23.950001,0,0,0,0,"20170","20170","20170","20170","0",4,4,2,4
6.01e-06,0,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.2015,.2015,200.8,76,74.3,4713,16.25,1,1,1,1,"20071","20071","20071","20071","0",-99,-99,-99,-99
7.91e-06,0,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.2015,.2015,200.8,76,74.3,4904,16.25,1,1,1,1,"20081","20081","20081","20081","0",-99,-99,-99,-99
0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.2015,.2015,200.8,76,74.3,5283.5,18.575,1,1,1,1,"20091","20091","20091","20091","0",-99,-99,-99,-99
9.32e-06,0,11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.095,.095,159.8,69.5,51.5,3010,20.6,1,1,1,1,"20051","20051","20051","20051","0",-99,-99,-99,-99
3.17e-06,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.095,.095,159.8,69.5,51.5,3010,20.6,1,1,1,1,"20061","20061","20061","20061","0",-99,-99,-99,-99
.0000182,0,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.095,.095,159.8,69.5,51.5,3010,20.6,1,1,1,1,"20071","20071","20071","20071","0",-99,-99,-99,-99
.0000144,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.095,.095,159.8,69.5,51.5,3061,18.6,1,1,1,1,"20081","20081","20081","20081","0",-99,-99,-99,-99
7.79e-06,5,31,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,16,13,2,168,1.3,.26,2.65,2.5,1.85,.53,55,5.5,16.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.135,.135,198.9,79.3,66.5,4383,21.15,1,1,0,1,"20051","20051","20050","20051","0",-99,4,-99,-99
6.65e-06,1,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,16,13,2,168,1.3,.26,2.65,2.5,1.85,.53,55,5.5,16.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.135,.135,198.9,79.3,66.5,4337,19.700001,1,1,0,1,"20061","20061","20060","20061","0",-99,4,-99,-99
7.05e-06,2,13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,16,13,2,168,1.3,.26,2.65,2.5,1.85,.53,55,5.5,16.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.135,.135,198.5,79.3,68.3,4337,21.15,1,1,0,1,"20071","20071","20070","20071","0",-99,4,-99,-99
4.24e-06,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,16,13,2,168,1.3,.26,2.65,2.5,1.85,.53,55,5.5,16.66667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.135,.135,198.5,79.3,68.3,4337,19.15,1,1,0,1,"20081","20081","20080","20081","0",-99,4,-99,-99
0,0,0,12,14,11,5,,4,2,7,8,9,71,.8,.18,0,.52,1.95,36.5,10,9,0,151,1,.2,.15,.5,1.8,.605,75.5,1,15.66667,-19.5,237,1.3,.2,32,27,2.61,.35,1.2,1.5,2.7,1,150,27,4378,20056,4.58,.116,.116,203.8,79.6,69.9,4636.5,41.549999,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
.0000111,22,35,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,13,14,1,277,2,.38,2.9,4,2.05,.775,105,2.5,18.33333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,168.9,67.1,63,3076,24.6,1,1,0,1,"20061","20061","20060","20061","2006",-99,4,-99,-99
.0000138,16,40,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,13,14,1,277,2,.38,2.9,4,2.05,.775,105,2.5,18.33333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,168.9,67.1,63,3076,24.6,1,1,0,1,"20071","20071","20070","20071","2007",-99,4,-99,-99
.0000152,6,28,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,13,14,1,277,2,.38,2.9,4,2.05,.775,105,2.5,18.33333,-8,707,2.3,0,54,45,8.03,1.84,4.2,2.8,6.4,1.1,191,-34,-99,-99,-99,-99,-99,168.9,67.1,61.8,3186.5,23.25,1,0,0,1,"20080","20081","20080","20081","2008",1,4,-99,-99
.0000134,0,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,13,14,1,277,2,.38,2.9,4,2.05,.775,105,2.5,18.33333,-8,707,2.3,0,54,45,8.03,1.84,4.2,2.8,6.4,1.1,191,-34,-99,-99,-99,-99,-99,168.9,67.1,63,3070,23.25,1,0,0,1,"20090","20091","20090","20091","2009",1,4,-99,-99
.0000188,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,13,14,1,277,2,.38,2.9,4,2.05,.775,105,2.5,18.33333,-8,707,2.3,0,54,45,8.03,1.84,4.2,2.8,6.4,1.1,191,-34,-99,-99,-99,-99,-99,168.9,67.1,63,3070,21.25,1,0,0,1,"20100","20101","20100","20101","2010",1,4,-99,-99
3.94e-06,10,38,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,16,1,373,1.8,.33,3.5,.5,4.7,.72,150,2.5,20.66667,3.5,134,2.3,.1,70,58,8.81,2.55,5.5,3,8.5,.3,95,39,-99,-99,-99,.0953333,.0953333,190.7,70.6,54.9,3173,25.6,1,0,0,1,"20050","20051","20050","20051","0",1,3,-99,-99
5.25e-06,12,33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,16,1,373,1.8,.33,3.5,.5,4.7,.72,150,2.5,20.66667,3.5,134,2.3,.1,70,58,8.81,2.55,5.5,3,8.5,.3,95,39,-99,-99,-99,.0915,.0915,190.7,70.6,54.9,3135,25.6,1,0,0,1,"20060","20061","20060","20061","0",1,3,-99,-99
5.48e-06,9,29,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,7,4,1,163,1.1,.24,1.2,0,2.45,.555,54.5,1,7.666667,-16.5,179,1,.2,48,41,6.32,.76,.9,3.2,3.9,.8,158,59,3275,14508,4.43,.113,.113,190.6,71.2,59,3310,27.6,0,0,0,0,"20070","20070","20070","20070","0",4,4,3,4
4.67e-06,4,30,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,5.5,4,1,160.5,1.25,.235,1.4,0,2.75,.4875,58,1,8,-15.75,269,1,.3,47.5,39,5.98,.84,1.55,3.05,4.25,.85,181.5,68,3275,14508,4.43,.1145,.1145,193.8,71.5,58.5,3742,24.049999,0,0,0,0,"20080","20080","20080","20080","0",4,4,3,4
2.26e-06,2,3,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,7,4,1,163,1.1,.24,1.2,0,2.45,.555,54.5,1,7.666667,-16.5,179,1,.2,48,41,6.32,.76,.9,3.2,3.9,.8,158,59,3275,14508,4.43,.1145,.1145,193.8,71.5,58.5,3742,24.049999,0,0,0,0,"20090","20090","20090","20090","0",4,4,3,4
4.32e-06,4,18,18,14,7,3,0,8,1,9,10,10,103,1.6,.26,0,.51,1.65,86,5.5,4,1,160.5,1.25,.235,1.4,0,2.75,.4875,58,1,8,-15.75,269,1,.3,47.5,39,5.98,.84,1.55,3.05,4.25,.85,181.5,68,3275,14508,4.43,.1145,.1145,192.2,71.35,58.75,3526,24.549999,0,0,0,0,"20100","20100","20100","20100","0",4,4,3,4
